Id,Clustering (Chinese Whispers)
v9,0
v25,0
v73,0
v91,0
v97,0
v163,0
v166,0
v225,0
v236,0
v250,0
v258,0
v272,0
v283,0
v284,0
v330,0
v352,0
v381,0
v513,0
v529,0
v538,0
v554,0
v584,0
v594,0
v605,0
v623,0
v636,0
v669,0
v670,0
v675,0
v690,0
v712,0
v719,0
v744,0
v748,0
v767,0
v770,0
v804,0
v836,0
v850,0
v896,0
v158,1
v255,1
v316,1
v387,1
v628,1
v656,1
v941,1
v53,2
v496,2
v877,2
v883,2
v907,2
v1002,2
v145,3
v612,3
v621,3
v647,3
v1001,3
v1028,3
v1037,3
