Label,Clustering (Chinese Whispers)
shell,0
accommodate,0
fuel,0
pipe,0
wall,0
had,0
pipes,0
burner,0
water,0
built,0
masonry,0
furnace,0
exhaust,0
high,0
heat,0
brick,0
device,0
inside,0
wood,0
sealed,0
gas,0
ore,0
efficiency,0
boiler,0
furnaces,0
combustion,0
constructed,0
shape,1
metals,1
iron,1
metal,1
everything,1
find,1
recycling,1
steel,1
get,1
like,1
value,1
