Label,Clustering (Chinese Whispers)
substances,0
substances,0
injustice,1
bitterness,1
forgiveness,1
attitude,1
poison,1
sadness,1
anger,1
person,1
bitter,1
happiness,1
someone,1
taste,2
teeth,2
bacteria,2
hygiene,2
quinine,2
mouth,2
